content,sentiment,decision_source,cleaned_content
@SenatorWong I can't remember the last time when you posted about Australia? Correct me if I'm wrong of course but it always seems to be about wars we don't need to be involved in,Negative,User agreement,user remember time post australia correct wrong course war need involve
Lawyers who engage in lobbying to have journalists removed because they don't like their views should think about core values in a democratic society like freedom of speech. Values they should uphold.,Irrelevant,Pro user,lawyer engage lobby journalist remove like view think core value democratic society like freedom speech value uphold
@DaveAtherton20 Someone buy that good boi a steak!,Irrelevant,User agreement,user buy good boi steak
💅,Irrelevant,User agreement,
We are silenced and punished because we speak up against this.,Irrelevant,User agreement,silence punish speak
"Is it just me or does there seem to be too much focus on celebrating the binning of the MAD bill and not enough on the social media ban? As though they're trying to distract us with this ""win""?",Irrelevant,Pro user,focus celebrate binning mad bill social medium ban try distract win
"A Jewish-Zionist Aust  Melbourne man is killing Palestinians in Gaza. Brazen, proud. Muslim/Arab kids are warned not to even google the word Hamas bc of anti-terror laws targeting our communities. This is why I refuse the language of terrorism. I reject Western definitions. (1)",Positive,User agreement,jewish zionist aust melbourne man kill palestinians gaza brazen proud muslim arab kid warn google word hamas bc anti terror law target community refuse language terrorism reject western definition
"Stop fucking telling Israelis where journalists and doctors and aid workers are, they just kill them!!! They have been doing this for a fucking year now",Positive,User agreement,stop fucking tell israelis journalist doctor aid worker kill fucking year
"UNRWA has put a black mourning band on their logo. 

@SenatorWong, Australians want our $84 million back.",Negative,User agreement,unrwa black mourning band logo user australian want million
"Israel has killed more civilians over the last 15 days than Hamas has killed in 30 years.

If you want to talk about terror, violence, and crimes against humanity, it rests with the occupier, Israel.",Positive,User agreement,israel kill civilian day hamas kill year want talk terror violence crime humanity rest occupier israel
Presented without comment.,Irrelevant,User agreement,present comment
"I don't want to work a regular job

I want to be a fascist 

I don't care for a wife 

I want to be a fascist 

I don't care for luxuries 

I want to be a fascist 

I don't want an easy life 

I want to be a fascist",Negative,User agreement,want work regular job want fascist care wife want fascist care luxury want fascist want easy life want fascist
"What do you make of this quote?

H/T @s0ikk3li",Irrelevant,Pro user,quote h t user
We need to be careful here. This appalling act must not be used to close down support for #Palestinians who are being subjected to #genocide,Positive,Pro user,need careful appalling act close support subject
"How do you people sleep at night? 
The only ""terrorist"" is the genocidal butcher Netanyahu, whom you all comfortably sat in a room with at the UN.",Positive,User agreement,people sleep night terrorist genocidal butcher netanyahu comfortably sit room un
"Really important to point out when @SenatorWong calls for humanitarian pauses on hostilities to allow water food medicine into Gaza, she is not calling on Israel to stop the genocide, she is asking that Palestinians be fed and hydrated while massacred. Thank you Australia. No one wants to be slaughtered while thirsty. #GazaGenocide #IsraelWarCrimes #australia_complicity",Positive,User agreement,important point user call humanitarian pause hostility allow water food medicine gaza call israel stop genocide ask palestinians feed hydrated massacre thank australia want slaughter thirsty
@OurielOhayon @orenbarsky If uou people behaved yourself you wouldnt be eternal pariahs. . You could still be happy in KhazariA,Irrelevant,Pro user,user user uou people behave not eternal pariahs happy khazaria
"This is demented, and utterly racist. Just sharing news about Gaza on social media is enough to get you sacked on the basis that an unnamed, unknown number of Jews in Melbourne could apparently feel ""unsafe"" by your demonstrated awareness of the genocide perpetrated by Israel.",Positive,User agreement,demente utterly racist share news gaza social medium sack basis unnamed unknown number jews melbourne apparently feel unsafe demonstrated awareness genocide perpetrate israel
@UncorruptedMan,Irrelevant,User agreement,user
"The good folks of Mallacoota, regional Victoria, mark the Global Day of Action for Palestine! 🇵🇸🇵🇸🇵🇸

#CeasefireNow #EndTheSiege #FreePalestine #Gaza #auspol",Positive,Pro user,good folk mallacoota regional victoria mark global day action palestine
Update from the National Situation Room on Cyclone Alfred.,Irrelevant,User agreement,update national situation room cyclone alfre
While the Australian media and political class whips up hysteria about flags of proscribed organisations they are happy for people to fly the flag of a nation whose leaders are committing genocide  #Israel,Positive,User agreement,australian medium political class whip hysteria flag proscribe organisation happy people fly flag nation leader commit genocide
@RepShriThanedar America for the White man! ⚡️,Negative,User agreement,user america white man
This owner is BASED😭😂,Irrelevant,User agreement,owner base
In our thousands in our millions we are all Palestinians! Canberra @rac_canberra foregrounds Palestine and Palestinian refugees! #rightofreturn,Positive,Pro user,thousand million palestinians canberra user foreground palestine palestinian refugee
"UNCOMFORTABLE TRUTH
Australia emits a little more than 1% but Australia's land, flora and agriculture absorb nearly 3%. 
Australia is a CO2 sink as it absorbs much more CO2 than it produces.
Why is this not acknowledged?",Irrelevant,User agreement,uncomfortable truth australia emit little australia land flora agriculture absorb nearly australia sink absorb produce acknowledge
@GarbageHuman24 You can see why Hitler was keen .,Positive,User agreement,user hitler keen
@SenatorWong You'll need to be able to define what a woman is before you do that,Irrelevant,User agreement,user need able define woman
"Australia makes the best products in the world, and we'll always back making things here.

So whenever you get a chance, choose Australian products.",Irrelevant,User agreement,australia make good product world make thing chance choose australian product
She just said that rape is bad,Irrelevant,User agreement,say rape bad
@JacintaAllanMP What about stopping the late 5erm unborn being ripped apart . And giving medical treatment to aborted babies born alive,Negative,Pro user,user stop late unborn rip apart give medical treatment aborted baby bear alive
Happy Mid-Autumn Festival!,Irrelevant,User agreement,happy mid autumn festival
"Good news; Uncle khaled is alive and well, still taking care of cats in Rafah.",Negative,User agreement,good news uncle khaled alive take care cat rafah
Love you @TheGuyPearce,Negative,User agreement,love user
"Wake up Victorian goys. 

This PO💩 isn't the only politician serving the ZJoo ✡️👹

He'll never be punished while the ZJooz are in control of Australia.

#silenceiscomplicity  #SpeakUpNow",Positive,User agreement,wake victorian goy po politician serve zjoo punish zjooz control australia
Appalling attempt to censor. #Palestinian protests must be allowed in the Melbourne CBD. #Israel supporters must not be allowed veto power,Positive,User agreement,appalling attempt censor protest allow melbourne cbd supporter allow veto power
"Palestinian women, men, and children have been documenting Israeli rape and sexual violence for decades. It is ongoing and there has been thorough documentation of persistent sexual atrocities over the last 6 months",Positive,User agreement,palestinian woman man child document israeli rape sexual violence decade ongoing thorough documentation persistent sexual atrocity month
"This quote is offensive; it upsets my sensibilities. But, it was written by a Nobel Prize winning humanitarian & explorer

Perhaps it's worth reading & considering?",Negative,Pro user,quote offensive upset sensibility write nobel prize win humanitarian explorer worth read consider
"Australians are thinking of all those affected by the terrible air crash at Reagan Airport in Washington and the tragic loss of life. Our hearts go out to their families and loved ones. 

As first responders work at the scene, we encourage any Australians in need of assistance to contact the Australian Government's 24-hour Consular Emergency Centre 1300 555 135 (within Australia) and +61 2 6261 3305 (from overseas).",Negative,User agreement,australian think affect terrible air crash reagan airport washington tragic loss life heart family love one responder work scene encourage australian need assistance contact australian government hour consular emergency centre australia overseas
"This is an open call for genocide, a War Crime. 

The AJA must be investigated, condemned and all necessary action taken by the relevant authorities. @VictoriaPolice @AusFedPolice @nswpolice 

Just sickening. 

We must end the divisiveness in this country. 

All life is precious!",Positive,Pro user,open genocide war crime aja investigate condemn necessary action take relevant authority user user user sicken end divisiveness country life precious
"NEWS: $10,000 extra cash to help new construction apprentices.",Irrelevant,User agreement,news extra cash help new construction apprentice
Fantastic interview. A must watch!,Irrelevant,User agreement,fantastic interview watch
"@RedPillSayian Why do black American men, aged 16-36, who make up only 2% of America, cause over 50% of ALL violent crimes?

That's a 25x overrepresentation

Why is this tolerated?
Why is the media silent on this?
Why are whites not furious & tired of it?
Why is it ""racist"" to be angered by it?",Negative,Pro user,user black american man aged america cause violent crime overrepresentation tolerate medium silent white furious tired racist anger
Are JEWS offered interest free loans? Is that incredibly bigoted if only offered to JEWS?,Positive,User agreement,jews offer interest free loan incredibly bigote offer jews
@MerseyPolice Is this you? 🧐,Irrelevant,User agreement,user
"Calm is when Gaza is bombed, villages are invaded, homes are bulldozed, journalists are shot, ambulances are attacked, mosques are vandalized, schools are tear-gassed, and Palestinians are massacred 

Calm shattered is when Palestinians finally respond",Positive,User agreement,calm gaza bomb village invade home bulldoze journalist shoot ambulance attack mosque vandalize school tear gas palestinians massacre calm shatter palestinians finally respond
The only thing you look indigenous to is a sunburn,Irrelevant,User agreement,thing look indigenous sunburn
"What have we, in Australia, learnt in the past few days? (And by learnt what I really mean is what have we not learnt despite over two decades of activists, scholars, lawyers and community writing and speaking about this?) A 🧵",Irrelevant,Pro user,australia learn past day learn mean learn despite decade activist scholar lawyer community write speak
Never forget the first Americans they made compete with offshore labor. They never recovered,Negative,User agreement,forget americans compete offshore labor recover
"That's right.

We'll make the biggest ever boost to Medicare, so all you need to see the doctor is your Medicare card, not your credit card.

Because seeing a GP for free shouldn't be a struggle.",Irrelevant,User agreement,right big boost medicare need doctor medicare card credit card see gp free struggle
I can't believe the silly @abcnews is fighting @antoinette_news. Stop wasting tax-payer $$$ and 1. Surrender 2. Pay her a lot of money 3. Apologise 4. Reinstate her. #FreePalestine #auspol,Positive,Pro user,believe silly user fight user stop waste tax payer surrender pay lot money apologise reinstate
oh my god shut the fuck up,Irrelevant,User agreement,oh god shut fuck
"Jonathan Glazer spoke the words: we stand here as men who refute their Jewishness. What is curious about this is that had someone refuted their black or Asian identity they would be branded a fool or a turncoat with internalised hatred. But Glazer won applause. This is because to many, being Jewish means belonging to an ultra-privileged, elite white sect of capitalists. It's like being a Freemason or belonging to a gentlemen's club. The whitest of the white elite. 

Glazer's gesture is an attempt to have it all. He is a hero of the hard-left now but still gets to keep his privilege. 

But to those of us who aren't Glazer, being Jewish does not mean that at all. It means belonging to an ancient people who founded monotheistic belief and the ethics and human dignity that stems from it. It means living with rich traditions and a sense of mission. It means belonging to a nation of contributors, survivors, outsiders. 

We've gotten this far without poor dumb schmucks like Glazer and we'll be just fine without them.",Positive,User agreement,jonathan glazer speak word stand man refute jewishness curious refute black asian identity brand fool turncoat internalised hatred glazer win applause jewish mean belong ultra privileged elite white sect capitalist like freemason belong gentleman club whitest white elite glazer gesture attempt hero hard left get privilege glazer jewish mean mean belong ancient people found monotheistic belief ethic human dignity stem mean live rich tradition sense mission mean belong nation contributor survivor outsider get far poor dumb schmuck like glazer fine
Sydney's Opera House tonight,Irrelevant,User agreement,sydney opera house tonight
The Fascist stadium,Negative,User agreement,fascist stadium
@Palsvig 🤮,Irrelevant,User agreement,user
"The Albanese Government has now helped 2,280 Australians and their family members to leave Lebanon.

There are seats available on flights leaving between now and Sunday.

Due to declining demand, nothing further is scheduled beyond Sunday.",Irrelevant,Pro user,albanese government help australian family member leave lebanon seat available flight leave sunday decline demand schedule sunday
@Taj_Ali1 UK for the White Man!,Negative,Pro user,user uk white man
"Gal Gadot went from ""Imagine"" to ""Genocide"" pretty quick",Positive,User agreement,gal gadot go imagine genocide pretty quick
While the media and political class works itself into a frenzy over #antisemitism it refuses to consider the evil of the #Zionist lobby's constant law fare and censorship of pro #Palestinian views. There are groups and individuals in the Zionist lobby that are thugs,Positive,User agreement,medium political class work frenzy refuse consider evil lobby constant law fare censorship pro view group individual zionist lobby thug
@LexionReal @GarbageHuman24 @lporiginalg Shekelsteinbaum for sure,Irrelevant,User agreement,user user user shekelsteinbaum sure
"Why would any parent do this to their child? 🤡🌎

The HSE Ireland has urged children and teenagers aged 2-17 to get a free nasal spray flu vaccine before Christmas.",Irrelevant,User agreement,parent child hse ireland urge child teenager age free nasal spray flu vaccine christmas
They are here right on your back door..,Irrelevant,Pro user,right door
"22/10/24 - Victorians say goodbye to
'Refugees' @NSNContactBot @EuropeanAusMvt @WhiteAusVic",Negative,User agreement,victorians goodbye refugee user user user
"Ex-Tropical Cyclone Alfred has been downgraded, but very serious risks remain - flooding, strong winds, and heavy rain continue across southeast QLD and northeast NSW.

Please continue to follow official advice. Stay inside, and look after one another.

My government has your back, and we are with you every step of the way.",Irrelevant,User agreement,ex tropical cyclone alfred downgrade risk remain flooding strong wind heavy rain continue southeast qld northeast nsw continue follow official advice stay inside look government step way
https://t.co/YbF6AcSUCm,Irrelevant,User agreement,
"Seriously what's happening to all the money? 🤯

Australia 🇦🇺 
✅ Income tax 
✅ Property tax
✅ Business tax 

Qatar 🇶🇦 
❌ No income tax
❌ No property tax
❌ No business tax",Negative,User agreement,seriously happen money australia income tax property tax business tax qatar income tax property tax business tax
@stairwayto3dom Elon doesn't want to have to do another shoe viewing tour. It's disgusting,Irrelevant,User agreement,user elon want shoe viewing tour disgusting
@Bushra1Shaikh @astor_charlie Why didn't you say that in the first place then? Hollow words,Irrelevant,Pro user,user user place hollow word
@MelindaMann_MM 💯 we are seeing what settler colonialism looks like in real time. It gives us a glimpse into what happened here and how easily it was allowed and continues to take place today.,Negative,Pro user,user see settler colonialism look like real time give glimpse happen easily allow continue place today
"This is a mosque. A house of worship. Imagine if it was a synagogue. Imagine the outrage then.

Israel has bombed 59 mosques in Gaza since October 7",Positive,Pro user,mosque house worship imagine synagogue imagine outrage israel bomb mosque gaza october
Just a reminder!! 🙌👊😎,Irrelevant,User agreement,reminder
"@DrewPavlou ""Intimidating"" Jews is the same as exposing Jewish power? 

I wonder why that's the case.",Positive,User agreement,user intimidate jews expose jewish power wonder case
Wow😂,Irrelevant,User agreement,wow
".@AlboMP @JEChalmers 
Today the fuel excise on petrol rises to 50c a litre. How is that helping the cost of living crises? It's your policies that is the main cause of the rising cost of living. If petrol, diesel & electricity goes up so does everything else. You both know that.",Negative,Pro user,user today fuel excise petrol rise litre help cost living crisis policy main cause rise cost living petrol diesel electricity go know
"Andrew Tate recorded a sex tape beating a 14 year old girl. 

Can't wait until this pedo is locked up",Irrelevant,Pro user,andrew tate record sex tape beat year old girl wait pedo lock
@ChrisMinnsMP Start deporting the problem,Negative,Pro user,user start deport problem
"Notice how the whole media just moved on from the fact that Al-Shifa hospital wasn't a Hamas command center?

Israel provided no evidence and the media was like, oh well, next story.",Positive,User agreement,notice medium move fact al shifa hospital hamas command center israel provide evidence medium like oh story
Congratulations President @prabowo on the occasion of your inauguration. I value our friendship and look forward to continuing to strengthen the partnership between our nations. 🇦🇺🇮🇩,Negative,User agreement,congratulation president user occasion inauguration value friendship look forward continue strengthen partnership nation
"Anthony Albanese walked into a bank to cash a cheque
When he's called over to the teller, he says, ""Good morning, could you please cash this cheque for me?""

The teller replied, ""It would be my pleasure sir. Could you please show me your ID?""

Anthony Albanese said, ""Truthfully, I didn't bring my ID with me as I didn't think there was any need to. I'm the Pwime Minista & leader of the Labour Party of Australia.""

The teller said, ""Yes sir, I know who you are... but with all the regulations and monitoring of the banks because of impostors, forgers, and requirements of the legislation etc., I must insist on seeing ID.""

Albo said, ""Just ask anyone here at the bank who I am and they'll tell you. Everybody knows who I am.""

The teller said, ""I'm sorry, Mr Albanese, but these are the bank rules and I must follow them""

Getting a bit agitated, Albanese  snapped, ""C'mon woman, I'm urging you, please, to cash this cheque..""

The teller said, ""Look Mr Albanese, here is an example of what we can do. One day, Tiger Woods came into the bank without ID. To prove he was Tiger Woods, he pulled out his putter and made a beautiful shot across the bank into a cup. With that shot we knew him to be Tiger Woods and cashed his cheque.

""Another time, Andre Agassi came in without ID. He pulled out his tennis racket and made a fabulous shot where the tennis ball landed in my cup. With that shot we cashed his cheque. So, Mr Albanese , what can you do to prove that it is you, and only you?""

Anthony Albanese stands there thinking, and thinking, and finally says, ""Honestly, my mind is a total blank... there's nothing that comes to my mind. I can't think of a single thing. I have absolutely no idea what to do... and I don't have a clue.""

With a big smile, the teller said, ""Will that be large or small notes, Mr Albanese?",Irrelevant,Pro user,anthony albanese walk bank cash cheque call teller say good morning cash cheque teller reply pleasure sir d anthony albanese say truthfully bring d think need pwime minista leader labour party australia teller say yes sir know regulation monitoring bank impostor forger requirement legislation etc insist see albo say ask bank tell everybody know teller say sorry mr albanese bank rule follow get bit agitated albanese snap woman urge cash cheque teller say look mr albanese example day tiger wood come bank prove tiger wood pull putter beautiful shot bank cup shot know tiger wood cash cheque time andre agassi come pull tennis racket fabulous shot tennis ball land cup shot cash cheque mr albanese prove anthony albanese stand think thinking finally say honestly mind total blank come mind think single thing absolutely idea clue big smile teller say large small note mr albanese
"@AlboMP Like you give a fuck about that woman and her family your that full of shit, get back on your bike you trans loving 🤡",Irrelevant,User agreement,user like fuck woman family shit bike trans love
What does it take for Australian mainstream media and political class to stop reporting #Israel neutrally. It is a rogue state. #Terrorism #warcrimes #genocide are its weapons.,Negative,User agreement,australian mainstream medium political class stop report neutrally rogue state weapon
@hajarabumoussa,Irrelevant,User agreement,user
"Carol Berry has built her career around helping others.

After more than 25 years living in the Illawarra, she wants to give back to the community she loves in Parliament. 

Labor has increased bulk billing here, opened a free Urgent Care Clinic, wiped student debt and given locals a tax cut.

As part of our Labor team, Carol will keep delivering help with the cost of living for Illawarra locals.",Negative,User agreement,carol berry build career help year live illawarra want community love parliament labor increase bulk billing open free urgent care clinic wipe student debt give local tax cut labor team carol deliver help cost live illawarra local
@TomS38256360 The nerve of these goyim to threaten violence should we hypothetically use the power of the state to take their children from them... why can't they just lie down and die like good little slaves,Negative,Pro user,user nerve goyim threaten violence hypothetically use power state child lie die like good little slave
"Kindness is a strength. 

Compassion is a strength. 

We are stronger as a country when we care for the vulnerable in our society. 

During this morning's beautiful service at St Christopher's Cathedral in Canberra, we had the chance to reflect on the reasons we have to be optimistic about the road ahead.",Negative,User agreement,kindness strength compassion strength strong country care vulnerable society morning beautiful service st christopher cathedral canberra chance reflect reason optimistic road ahead
"We're cracking down on unfair and excessive debit card surcharges.

Whether you're paying by cash or card if you're using your own money it shouldn't cost you more.",Negative,Pro user,crack unfair excessive debit card surcharge pay cash card money cost
".@AdamBandt silence is NOT an option

What action will YOU take following revelations that  @Greens MP @MChandlerMather wife Joanna Horton allegedly retweeted a post praising the ""heroism"" of Hamas on October 7, saying ""look what they have just pull[ed] off""

via @DrewPavlou",Negative,User agreement,silence option action follow revelation user mp user wife joanna horton allegedly retweete post praise heroism hamas october say look user
"May god have mercy on your soul, Sheikh Khaled Nabhan🤍😭",Negative,User agreement,god mercy soul sheikh khaled
@fiorifan @wherepond Not a lioness but a coward,Irrelevant,User agreement,user user lioness coward
🚨Israel is murdering civilians in Rafah again. The demons created hell on earth.,Positive,User agreement,israel murder civilian rafah demon create hell earth
Kino ngl,Irrelevant,Pro user,kino ngl
"Absolutely magnificent. 

Fuck you israel!",Positive,User agreement,absolutely magnificent fuck israel
"Dear PM @Albo & FM @SenatorWong, this is what leadership & decency sounds like.",Irrelevant,Pro user,dear pm user fm user leadership decency sound like
We're working with every level of government to make sure people in Queensland and New South Wales affected by Ex-Tropical Cyclone Alfred get the help they need straight away.,Irrelevant,Pro user,work level government sure people queensland new south wale affect ex tropical cyclone alfred help need straight away
"Must read by Kate Ahmad. This is the pernicious doxxing that Zionists have perfected for decades. The doxxing that is never condemned or addressed and certainly never elicits attention from government or mainstream media. I'm shocked Fairfax grew a backbone & published this. 
When Zionists are exposed & face a slither of public accountability the state and media bear down to defend those who stand for the indefensible. And it's new laws, hysterical headlines and wall to wall coverage invoking every trope and talking point to weaponise Nazi Germany against Palestine advocates. The only stories that deserve our attention are those like Kate Ahmad because the institutions and systems that should be protecting her and others in similar situations have failed.  
https://t.co/lS25tnMcA0",Positive,User agreement,read kate ahmad pernicious doxxing zionist perfect decade doxxing condemn address certainly elicit attention government mainstream medium shocked fairfax grow backbone publish zionist expose face slither public accountability state medium bear defend stand indefensible new law hysterical headline wall wall coverage invoke trope talking point weaponise nazi germany palestine advocate story deserve attention like kate ahmad institution system protect similar situation fail
"Rafah is under heavy bombardment, & with more than 1.5 million Palestinians crammed into this purported 'safe zone', the civilian toll of these strikes will be catastrophic. 

The Aust Govt must condemn this attack and act to see an immediate ceasefire. 

@SenatorWong  @AlboMP",Positive,Pro user,rafah heavy bombardment million palestinians cram purport safe zone civilian toll strike catastrophic aust govt condemn attack act immediate ceasefire user user
Yea,Irrelevant,User agreement,yea
"If you are against illegal immigration, then you should be agaisnt the creation of ""Israel"".",Positive,User agreement,illegal immigration agaisnt creation israel
I condemn anyone condemning Palestinian resistance.,Positive,User agreement,condemn condemn palestinian resistance
"Holy shit - the US won the Olympic medal tally on a tiebreaker only because Imane Khelif defeated a Chinese boxer for a gold medal.

Imane Khelif alone stopped the CCP propaganda victory. Modern day Tiananmen Tank Man. I salute you hero 🫡",Irrelevant,User agreement,holy shit win olympic medal tally tiebreaker imane khelif defeat chinese boxer gold medal imane khelif stop ccp propaganda victory modern day tiananmen tank man salute hero
"It is so distressing and unreal to see variations of ""What if the people killed actually mattered"" posed every day while your community is being killed. What if Arabs mattered as much as ""other civilians""? What if we existed near you when targeted by USrael?",Negative,User agreement,distressing unreal variation people kill actually matter pose day community kill arab matter civilian exist near target usrael
🚨Israel's gas platform in the Mediterranean Sea have been destroyed.Notice how Iran isn't targeting civilians.,Negative,User agreement,israel gas platform mediterranean sea iran target civilian
"A while ago when Daniel Andrews went to China without Journalists, I made a comment saying that he doesn't want them to know he was job hunting or to see him check his foreign bank accounts! 
Tonight Credlin has announced that he IS going to work in China, didn't know I was physic! 😏",Irrelevant,User agreement,ago daniel andrews go china journalist comment say want know job hunting check foreign bank account tonight credlin announce go work china know physic
"Albanese you can't hide.
You're committing genocide!#CeasefireNOW",Negative,User agreement,albanese hide commit
Murdoch's News Ltd is the official propaganda rag for the terrorist state of israel. Absolute filth!!!!! #IsraeliNazis #GenocideinPalestine #FreePalestine #auspol #PalestinianHolocaust,Positive,User agreement,murdoch news ltd official propaganda rag terrorist state israel absolute filth
Hello Klansman,Positive,Pro user,hello klansman
Now cut off internet. They'll surrender in 48 hours.,Irrelevant,User agreement,cut internet surrender hour
"@Gentilenewsnet I can see why the demons chose him to lead the occupied state of Palestine.

Jewish supremacy is just a conspiracy theory.. Right?",Positive,User agreement,user demon choose lead occupy state palestine jewish supremacy conspiracy theory right
@ezralevant Shut up non,Irrelevant,User agreement,user shut non
"Let's be crystal fucking clear: Mass rape has been perpetrated by one side, and one side only, over the last 7 decades in Palestine. And that side is Israel. Rape after rape after rape. Men, women and children. Fuck Israel and all Zionists still talking about October 7.",Positive,User agreement,let crystal fucking clear mass rape perpetrate decade palestine israel rape rape rape man woman child fuck israel zionist talk october
"""Mixed race kids just look better"" 

Mixed race kids:",Irrelevant,User agreement,mixed race kid look well mixed race kid
"3. And so when Zionists demand my fellowship be cancelled, they are purposefully targeting me and the next generation of Arab and Muslim women academics.

They seek to eliminate us from the academy because our voices, knowledge production and impact threaten the White supermacist status quo they so desperately seek to maintain.",Positive,Pro user,zionist demand fellowship cancel purposefully target generation arab muslim woman academic seek eliminate academy voice knowledge production impact threaten white supermacist status quo desperately seek maintain
Wolverine and Deadpool is the #1 movie in the world. Thank you ALL! @VancityReynolds @ShawnLevyDirect @MarvStudios,Irrelevant,User agreement,wolverine deadpool movie world thank user user user
"Been thinking about this video all day. This little kid, Hossam, in the rubble, furious that his account was deleted by Meta. The sheer pettiness of this tyranny, on top of the atrocity, the starvation, the daily massacres.",Negative,User agreement,think video day little kid hossam rubble furious account delete meta sheer pettiness tyranny atrocity starvation daily massacre
@senatorbabet @k_mahlburg Thanks to the jews. Have you not heard of the Kalergi plan Senator?,Negative,User agreement,user user thank jews hear kalergi plan senator
"#NEWS:

🇸🇦 Saudi Arabia:

""Palestinian state with East Jerusalem as its capital!""

Saudi Arabia officially denied the State Department's statements about the Saudis' readiness to normalize relations with Israel. 

According to the official response, the Saudis demand:

1. The creation of an independent Palestinian state within the 1967 borders and with East Jerusalem as capital controlled by the Palestinians

2. The cessation of Israeli aggression in the Gaza Strip and the complete withdrawal of Israeli troops from there.

Under the current conditions and under the Netanyahu government, these demands will obviously not be met.

Thus, the Netanyahu government is a clear obstacle to Israel's desired normalization agreements with Saudi Arabia.",Positive,User agreement,saudi arabia palestinian state east jerusalem capital saudi arabia officially deny state department statement saudi readiness normalize relation israel accord official response saudi demand creation independent palestinian state border east jerusalem capital control palestinians cessation israeli aggression gaza strip complete withdrawal israeli troop current condition netanyahu government demand obviously meet netanyahu government clear obstacle israel desire normalization agreement saudi arabia
"8. They grossly underestimate me. I'm not fighting for my job only. I will fight all the way for my students, for my research assistants, for my volunteers, for my community.

White supremacists are cowards who slink around corridors of power and throw matches at the grassroots.

But they can never match our spirit and power. They burn down. We just keep rising and growing.",Negative,User agreement,grossly underestimate fight job fight way student research assistant volunteer community white supremacist coward slink corridor power throw match grassroot match spirit power burn rise grow
"So doxing people is prohibited in @X's TOS but the @adl is allowed to run an entire hit piece, including publicly doxing @TheOfficial1984 ?

What insane bullsh@t is this @elonmusk ?

How are these brazen double standards tolerated?

@Support",Negative,Pro user,doxe people prohibit user tos user allow run entire hit piece include publicly doxe user insane bullsh user user brazen double standard tolerate user
@Angelic_Air @SlanderedSaint2 @Ostrov_A You think you are getting an alternative that will restore national cohesian and you get another Zionist unfortunately,Positive,User agreement,user user user think get alternative restore national cohesian zionist unfortunately
1. The @RadioNational @PatsKarvelas' interview with #deborahconway stands as a prime eg of how our national broadcaster is inexcusably normalising & mainstreaming the dehumanisation of Palestinians & giving a free pass to the most egregious Zionist talking points.  🧵🧵🧵🧵,Positive,Pro user,user user interview stand prime eg national broadcaster inexcusably normalise mainstreame dehumanisation palestinians give free pass egregious zionist talking point
BREAKING: Our bill to establish an independent National Student Ombudsman has just passed the House of Representatives.,Negative,Pro user,break bill establish independent national student ombudsman pass house representative
"We call on @elonmusk to provide satellite connection for the besieged people in the Gaza strip, just as it was provided for Ukrainians during Russia's invasions. The cutting off of internet by Israel has provided a blanket and enabled Israel's genocide of Gazans. #StarLinkForGaza",Positive,User agreement,user provide satellite connection besiege people gaza strip provide ukrainian russia invasion cutting internet israel provide blanket enable israel genocide gazan
@zeee_media @AlboMP Yeah! What she said! Fuck you Albo - can't wait till you're put out to pasture,Irrelevant,Pro user,user user yeah say fuck albo wait till pasture
"Forensic Architecture put out a 827-page report analysing Israeli military actions, demonstrating in practice the genocide, and it's been largely ignored. Findings include: ""Between 7 Oct 2023 and 30 June 2024 approximately 83% of all plant life in Gaza was destroyed.""",Positive,Pro user,forensic architecture page report analyse israeli military action demonstrate practice genocide largely ignore finding include oct june approximately plant life gaza destroy
"Seriously Fuck you Israel! Your day is coming faster than you think. 

During a raid on his home in the Shwaika neighborhood of Tulkarm, a Palestinian youth named Osayd Taha was viciously attacked by a military dog belonging to the occupation forces. The brutal incident highlights the excessive use of force and aggression employed by the occupying forces against Palestinian civilians, even targeting innocent youths like Osayd Taha.

This unjust and inhumane treatment further exacerbates tensions and reinforces the oppressive nature of the occupation in Palestinian territories.",Positive,User agreement,seriously fuck israel day come fast think raid home shwaika neighborhood tulkarm palestinian youth name osayd taha viciously attack military dog belong occupation force brutal incident highlight excessive use force aggression employ occupy force palestinian civilian target innocent youth like osayd taha unjust inhumane treatment exacerbate tension reinforce oppressive nature occupation palestinian territory
Demanding Palestinians stop resisting - our right under int'l law - is to expect us to collaborate in our own death. Just be honest and say you want us to roll over and die quietly.,Positive,Pro user,demand palestinians stop resist right law expect collaborate death honest want roll die quietly
"""Why don't Palestinians just evacuate?"" Do you hear yourselves? They can't, and even if they could, the questions that should be asked: Why doesn't the Israeli state stop its bombs? Why doesn't the world sanction the occupation? Why doesn't it step in to dismantle apartheid?",Positive,User agreement,palestinians evacuate hear question ask israeli state stop bomb world sanction occupation step dismantle apartheid
Why weren't you live streaming this yesterday @SkyNews?,Irrelevant,User agreement,live stream yesterday user
"@haaretzcom While you're at it, why don't you trial the ones you killed these 4 Palestinian boys who were playing soccer on a Gaza beach before the IDF navy blew them up in front of international journalists.

Israel admitted it then exonerated those responsible. Like always.",Positive,Pro user,user trial one kill palestinian boy play soccer gaza beach idf navy blow international journalist israel admit exonerate responsible like
"🇦🇺 Aussies, what are your thoughts on this?",Irrelevant,Pro user,aussie thought
